
 ---------- Best Recommend news -----------
test240 cnt:127 / score 0.146516
test220 cnt:104 / score 0.146426
test441 cnt:73 / score 0.144217
test91 cnt:174 / score 0.142045
test449 cnt:147 / score 0.139500
test103 cnt:107 / score 0.139044
test421 cnt:167 / score 0.134644
test102 cnt:210 / score 0.133879
test432 cnt:115 / score 0.129515
test13 cnt:76 / score 0.129105
test195 cnt:309 / score 0.127637
